STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72214093805,1/1/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",66.2,24,65.1,24,1018.9,24,16.5,24,3.6,24,5.8,24,8,999.9,71.6,*,64.4,*,0.79,G,999.9,110000
72214093805,1/2/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",62.7,24,61.2,24,1020.9,24,18.5,24,4.5,24,6.2,24,11.8,999.9,66.9,*,57,*,0.08,G,999.9,110000
72214093805,1/3/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",63.7,24,62.4,24,1021.1,24,18.8,24,4.4,24,8.3,24,13,999.9,69.8,*,60.8,*,0,H,999.9,110000
72214093805,1/4/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",69.8,24,67.5,24,1019.8,24,17.5,24,3.5,24,5.2,24,9.9,999.9,80.6,*,64.4,*,0,G,999.9,100000
72214093805,1/5/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",66.1,24,58.7,24,1020.4,24,18,24,7.2,24,5.5,24,9.9,999.9,75.9,*,55.4,*,0,B,999.9,100000
72214093805,1/6/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",66.3,24,63.5,24,1018.4,24,16.1,24,4.1,24,5,24,10.1,999.9,75.2,*,60.1,*,0,H,999.9,110000
72214093805,1/7/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",56.7,24,55.5,24,1020,24,17.6,24,4,24,7.9,24,13,999.9,64.9,*,53.6,*,0,G,999.9,110000
72214093805,1/8/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",49.3,24,48.2,24,1017.2,24,14.8,24,3.2,24,8.7,24,13,999.9,55.4,*,42.1,*,0.43,G,999.9,110000
72214093805,1/9/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",40,24,34.6,24,1024.8,24,22.4,24,6.8,24,9.7,24,12,999.9,42.8,*,35.6,*,0.2,G,999.9,0
72214093805,1/10/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",39.7,24,35.8,24,1024.1,24,21.6,24,5.5,24,8.5,24,11.1,999.9,41,*,39,*,0.2,G,999.9,110000
72214093805,1/11/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",41,22,36.5,22,1018.5,22,16.1,22,5.9,22,8.8,22,11.1,999.9,47.8,*,38.8,*,0.47,G,999.9,110000
72214093805,1/12/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",40.9,20,31.6,20,1019.9,20,17.4,20,6.8,20,10.1,20,12.8,999.9,46.9,*,36,*,0.24,G,999.9,110000
72214093805,1/13/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",39.9,24,24.2,24,1026.7,24,24.2,24,8.7,24,6.7,24,10.1,999.9,53.1,*,28.9,*,0,G,999.9,0
72214093805,1/14/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",36.1,23,24.4,23,1028.7,23,26.2,23,8.5,23,3.3,23,11.8,999.9,61,*,18,*,0,I,999.9,0
72214093805,1/15/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",45.4,24,34,24,1025,24,22.5,24,7.7,24,4.7,24,14,999.9,72,*,28,*,0,I,999.9,0
72214093805,1/16/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",46.2,24,32.3,24,1027.3,24,24.9,24,7.7,24,1.4,24,5.1,999.9,69.1,*,30,*,0,I,999.9,0
72214093805,1/17/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",47.7,24,39.1,24,1027.2,24,24.7,24,7.6,24,3.6,24,13,999.9,72,*,32,*,0,I,999.9,0
72214093805,1/18/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",58.7,24,53.5,21,1022.4,24,20,24,6.4,24,4.3,24,11.8,999.9,75,*,43,*,0,I,999.9,100000
72214093805,1/19/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",62,24,53,23,1015.9,24,13.5,24,6.3,24,5.6,24,13,15.9,74.8, ,41.9, ,0,A,999.9,100000
72214093805,1/20/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",48.8,24,35.2,24,1016,24,13.7,24,8.3,24,3.6,23,7,999.9,71.1,*,30.9,*,0,I,999.9,0
72214093805,1/21/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",56.4,24,47.3,24,1012,24,9.6,24,7.9,24,7.7,24,19.8,29.9,71.1,*,43.9,*,99.99, ,999.9,10000
72214093805,1/22/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",62.8,24,51,24,1010.7,24,8.3,24,6.5,24,8,24,20,26.8,71.1,*,46.9,*,1.38,G,999.9,110010
72214093805,1/23/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",51.4,23,41.4,23,1017.1,23,14.7,23,7.9,23,2.7,23,8.9,999.9,71.1,*,35.1,*,0.12,G,999.9,0
72214093805,1/24/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",53.7,24,41.2,24,1019.6,24,17.2,24,8.2,24,5.9,24,11.8,999.9,68,*,43.9,*,0,G,999.9,0
72214093805,1/25/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",46.7,24,34.1,24,1022.4,24,20,24,8.6,24,3.9,24,9.9,999.9,61,*,34.9,*,0,I,999.9,0
72214093805,1/26/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",59.1,24,51.1,24,1017.8,24,15.4,24,7.8,24,8.1,24,14,999.9,68,*,50.9,*,0.16,G,999.9,110000
72214093805,1/27/1973,30.39306,-84.35333,16.8,"TALLAHASSEE REGIONAL AIRPORT, FL US",52.9,24,46,23,1015.9,24,13.5,24,6.5,24,3.3,24,7,999.9,68,*,41,*,0.39,G,999.9,100000
