STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72234799999,1/1/1973,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",47.3,4,38.8,4,9999.9,0,999.9,0,7.5,4,10.1,4,10.9,22,50,*,44.6,*,0,I,999.9,0
72234799999,1/8/1973,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",37.4,5,36.3,5,9999.9,0,999.9,0,3.3,5,14.8,5,22,999.9,39.2,*,35.6,*,99.99, ,999.9,10000
72234799999,1/29/1973,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",39.3,5,25.1,5,9999.9,0,999.9,0,7.8,5,14.1,5,24.9,999.9,45,*,34,*,0,I,999.9,0
72234799999,2/1/1973,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",69.7,4,65.9,4,9999.9,0,999.9,0,8,4,18.4,4,25.8,999.9,72.9,*,66.9,*,99.99, ,999.9,10010
72234799999,2/8/1973,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",45.9,4,9999.9,0,9999.9,0,999.9,0,5.2,4,18.1,4,19.8,999.9,52,*,38.8,*,99.99, ,999.9,110000
72234799999,7/5/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",79.9,23,72.7,23,1018.5,23,999.9,0,8.7,23,4.5,12,9.9,999.9,91, ,72, ,0,A,999.9,0
72234799999,7/6/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",80.9,24,72.9,24,1017.3,22,999.9,0,8.3,24,5.3,15,11.1,999.9,93, ,71.1, ,0.25,G,999.9,10010
72234799999,7/7/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",82.3,24,72.5,24,1018.6,24,999.9,0,8.1,24,3.8,11,6,999.9,95, ,73, ,0,G,999.9,0
72234799999,7/8/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",84,24,74.6,24,1018.2,23,999.9,0,8.4,24,4.8,15,8,999.9,93.9, ,75, ,0,A,999.9,10
72234799999,7/9/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",84.3,24,73,24,1015.4,24,999.9,0,8.4,24,4.8,18,7,999.9,93.9, ,75, ,0,I,999.9,0
72234799999,7/10/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",84.3,24,74.5,24,1012.7,23,999.9,0,9.1,24,7.3,11,8.9,999.9,93.2,*,75.2,*,0,I,999.9,10
72234799999,7/11/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",80.4,17,73.9,17,1011.6,16,999.9,0,10,17,5.8,11,9.9,999.9,87.8,*,77,*,0.01,G,999.9,10
72234799999,7/12/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",79.4,24,72.8,24,1013.2,22,999.9,0,9.1,24,5.5,17,9.9,999.9,93.2,*,73.4,*,0,G,999.9,10010
72234799999,7/13/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",76.5,24,72.1,24,1014.1,20,999.9,0,8.8,24,5.1,20,8.9,999.9,84.2,*,71.6,*,0.63,B,999.9,10010
72234799999,7/14/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",78.9,24,67.5,24,1014.1,24,999.9,0,9.3,24,5.1,22,9.9,14,87.8,*,71.6,*,0,I,999.9,0
72234799999,7/15/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",75.4,24,67.6,24,1013,24,999.9,0,6.9,24,4.1,12,6,999.9,91, ,64, ,0,I,999.9,0
72234799999,7/16/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",81.6,24,69.3,24,1015.8,24,999.9,0,7.9,24,5.8,17,8.9,999.9,89.6,*,73.4,*,0,I,999.9,0
72234799999,7/17/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",79.8,23,67.6,23,1017.7,22,999.9,0,7,23,4.7,14,6,999.9,89.6,*,69.8,*,0,I,999.9,0
72234799999,7/18/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",80,23,71.4,23,1016.6,23,999.9,0,7,23,5.6,9,8,999.9,91.4,*,71.6,*,0,I,999.9,0
72234799999,7/19/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",78.1,12,72.9,12,1016.6,12,999.9,0,7.3,12,3.8,5,6,999.9,87.1, ,73, ,0,I,999.9,0
72234799999,7/23/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",90.6,7,67,7,1011.6,7,999.9,0,10,7,4.8,7,7,999.9,91.4,*,87.8,*,0,I,999.9,0
72234799999,7/24/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",81.7,22,69.1,22,1012.2,22,999.9,0,7.2,22,4.4,10,7,999.9,93.2,*,69.8,*,0,I,999.9,0
72234799999,7/25/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",77.8,24,73.3,24,1013.1,20,999.9,0,7.9,24,7.4,18,15,19,82.4,*,73.4,*,0.01,A,999.9,10000
72234799999,7/26/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",75.1,24,72.7,24,1015.9,15,999.9,0,7.7,24,6.1,22,12,999.9,79, ,73, ,0.11,B,999.9,10000
72234799999,7/27/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",78.3,24,72.1,24,1018,22,999.9,0,9.9,24,4.3,14,11.1,999.9,91.4,*,69.8,*,0.03,A,999.9,10010
72234799999,7/28/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",79.2,24,61,24,1019.4,20,999.9,0,9.1,24,5.5,13,11.1,999.9,87.8,*,73.4,*,0,I,999.9,10
72234799999,7/29/2001,31.267,-89.25,46,"HATTIESBURG MUNICIPAL, MS US",82.2,24,73.2,10,1018.9,23,999.9,0,10,24,5.1,18,8.9,999.9,91.9, ,75, ,0,A,999.9,0
