STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72222113899,1986-01-01,,,,,56.3,24,51.5,24,1017.3,24,12.9,24,4.6,24,6.3,24,12.0,999.9,70.0, ,48.9, ,1.18,D,999.9,110000
72222113899,1986-01-02,,,,,51.4,24,43.3,24,1020.3,24,16.0,24,6.6,24,3.8,24,8.0,999.9,64.0,*,42.1, ,0.0,D,999.9,100000
72222113899,1986-01-03,,,,,60.7,24,53.1,24,1019.6,24,15.2,24,4.6,24,3.8,24,8.0,999.9,69.1,*,53.1, ,0.0,D,999.9,100000
72222113899,1986-01-04,,,,,55.5,24,51.5,24,1017.5,24,13.2,24,4.8,24,2.1,24,8.0,999.9,69.1, ,51.1, ,0.98,D,999.9,110000
72222113899,1986-01-05,,,,,49.2,24,34.5,24,1021.8,24,17.5,24,7.8,24,11.1,24,17.1,27.0,59.0, ,37.9, ,0.01,D,999.9,110000
72222113899,1986-01-06,,,,,39.2,24,24.9,24,1025.2,24,20.8,24,7.0,24,4.3,24,8.0,999.9,53.1,*,27.0, ,0.0,D,999.9,0
72222113899,1986-01-07,,,,,52.0,24,42.0,24,1021.4,24,17.1,24,6.8,24,6.2,24,8.9,999.9,57.9,*,45.0, ,0.04,G,999.9,110000
72222113899,1986-01-08,,,,,49.5,24,29.9,24,1028.0,24,23.6,24,7.3,24,10.1,24,14.0,999.9,59.0, ,42.1, ,0.0,G,999.9,0
72222113899,1986-01-09,,,,,46.4,24,24.5,24,1030.0,24,25.6,24,7.0,24,7.0,24,11.1,17.1,57.0, ,42.1, ,0.0,D,999.9,10000
72222113899,1986-01-10,,,,,47.3,24,43.5,24,1019.2,24,14.8,24,3.3,24,7.9,24,15.0,999.9,52.0,*,42.1, ,0.47,G,999.9,110000
72222113899,1986-01-11,,,,,47.9,24,34.8,24,1020.9,24,16.6,24,7.7,24,10.0,24,13.0,999.9,60.1,*,37.9, ,0.0,G,999.9,110000
72222113899,1986-01-12,,,,,48.9,24,30.3,24,1024.1,24,19.8,24,7.2,24,4.6,24,8.9,999.9,64.9,*,33.1, ,0.0,D,999.9,0
72222113899,1986-01-13,,,,,48.9,24,27.5,24,1022.0,24,17.6,24,9.3,24,8.4,24,15.9,999.9,66.0, ,39.9, ,0.0,D,999.9,0
72222113899,1986-01-14,,,,,44.5,24,24.9,24,1023.1,24,18.8,24,7.6,24,3.7,24,12.0,999.9,62.1,*,30.0, ,0.0,D,999.9,0
72222113899,1986-01-15,,,,,52.0,24,36.6,24,1024.6,24,20.2,24,7.0,24,3.9,24,8.0,999.9,66.0,*,39.0, ,0.0,D,999.9,100000
72222113899,1986-01-16,,,,,52.3,24,46.8,24,1028.3,24,24.0,24,6.5,24,3.8,24,10.1,999.9,66.0, ,42.1, ,0.0,D,999.9,100000
72222113899,1986-01-17,,,,,56.8,24,50.5,24,1026.9,24,22.5,24,6.3,24,4.3,24,11.1,999.9,69.1,*,48.9, ,0.0,D,999.9,100000
72222113899,1986-01-18,,,,,61.5,24,58.0,24,1020.3,24,16.0,24,5.5,24,6.2,24,12.0,999.9,70.0,*,57.0, ,0.0,H,999.9,110000
72222113899,1986-01-19,,,,,59.4,24,49.2,24,1014.1,24,9.8,24,5.2,24,8.3,24,15.0,20.0,70.0, ,53.1, ,0.02,G,999.9,100000
72222113899,1986-01-20,,,,,50.0,24,33.0,24,1017.8,24,13.4,24,7.8,24,4.6,24,8.9,999.9,64.0, ,37.9, ,0.0,G,999.9,0
72222113899,1986-01-21,,,,,57.3,24,46.4,24,1020.3,24,15.9,24,6.4,24,3.7,24,12.0,999.9,72.0,*,45.0, ,0.0,D,999.9,100000
72222113899,1986-01-22,,,,,60.2,24,54.6,24,1022.1,24,17.8,24,7.6,24,3.5,24,13.0,999.9,73.9, ,48.9, ,0.0,D,999.9,100000
72222113899,1986-01-23,,,,,53.8,24,39.7,24,1023.6,24,19.2,24,7.2,24,9.4,24,14.0,18.1,73.9, ,42.1, ,0.0,D,999.9,0
72222113899,1986-01-24,,,,,47.7,24,33.0,24,1023.7,24,19.4,24,7.0,24,6.3,24,11.1,999.9,60.1, ,39.9, ,0.0,D,999.9,0
72222113899,1986-01-25,,,,,55.9,24,50.5,24,1020.0,24,15.6,24,5.7,24,7.2,24,15.9,18.1,70.0,*,46.9, ,0.0,D,999.9,110000
72222113899,1986-01-26,,,,,50.7,24,43.0,24,1015.3,24,11.0,24,6.6,24,12.1,24,18.1,28.0,70.0, ,45.0, ,0.83,G,999.9,100000
72222113899,1986-01-27,,,,,36.1,24,9.4,24,1018.4,24,14.1,24,10.8,24,14.1,24,21.0,28.9,54.0, ,30.0, ,0.0,G,999.9,0
72222113899,1986-01-28,,,,,31.3,24,9.9,24,1023.8,24,19.4,24,13.5,24,5.1,24,12.0,999.9,48.0,*,21.0, ,0.0,D,999.9,0
72222113899,1986-01-29,,,,,54.3,24,46.0,24,1019.5,24,15.2,24,7.5,24,6.5,24,14.0,22.9,71.1,*,41.0, ,0.0,D,999.9,100000
72222113899,1986-01-30,,,,,56.5,24,40.0,24,1023.5,24,19.2,24,7.7,24,6.3,24,8.9,999.9,71.1, ,48.0, ,0.0,C,999.9,0
72222113899,1986-01-31,,,,,50.8,24,34.9,24,1026.5,24,22.1,24,7.3,24,3.9,24,8.9,999.9,66.0, ,39.0, ,0.0,D,999.9,0
72222113899,1986-02-01,,,,,54.3,24,46.1,24,1026.8,24,22.4,24,7.0,24,5.2,24,12.0,999.9,64.9,*,45.0, ,0.0,D,999.9,0
72222113899,1986-02-02,,,,,58.3,24,55.5,24,1026.7,24,22.3,24,2.5,24,3.7,24,8.0,999.9,69.1,*,52.0, ,0.0,C,999.9,100000
72222113899,1986-02-03,,,,,57.0,24,55.0,24,1021.8,24,17.5,24,2.9,24,2.7,24,11.1,999.9,70.0, ,48.9, ,0.0,D,999.9,100000
72222113899,1986-02-04,,,,,63.3,24,62.2,24,1015.9,24,11.6,24,2.7,24,8.6,24,14.0,999.9,69.1, ,59.0, ,0.0,D,999.9,100000
72222113899,1986-02-05,,,,,67.3,24,63.7,24,1012.2,24,7.9,24,5.3,24,9.1,24,19.0,999.9,73.0,*,63.0, ,1.81,G,999.9,110010
72222113899,1986-02-06,,,,,66.0,24,57.7,24,1010.2,24,5.9,24,6.8,24,11.5,24,20.0,25.1,73.9, ,61.0, ,4.33,G,999.9,110010
72222113899,1986-02-07,,,,,58.1,24,48.8,24,1014.9,24,10.6,24,10.8,24,6.7,24,13.0,999.9,73.0, ,48.9, ,0.0,G,999.9,0
72222113899,1986-02-08,,,,,58.0,24,54.9,24,1015.2,24,10.9,24,5.7,24,3.6,24,8.9,999.9,68.0, ,55.0, ,0.67,G,999.9,110010
72222113899,1986-02-09,,,,,57.4,24,56.0,24,1015.6,24,11.3,24,4.3,24,4.5,24,10.1,999.9,64.0, ,54.0, ,0.04,G,999.9,110000
72222113899,1986-02-10,,,,,62.0,24,61.3,24,1010.8,24,6.5,23,1.9,24,3.1,24,12.0,999.9,70.0,*,57.0, ,0.43,G,999.9,110010
72222113899,1986-02-11,,,,,44.2,24,39.3,24,1014.5,24,10.1,24,6.2,24,13.4,24,17.1,27.0,70.0, ,33.1, ,1.65,G,999.9,110000
72222113899,1986-02-12,,,,,34.8,24,20.1,24,1025.7,24,21.4,24,7.5,24,10.1,24,15.0,20.0,48.0, ,26.1, ,0.0,G,999.9,0
72222113899,1986-02-13,,,,,37.5,24,16.3,24,1029.2,24,24.9,24,7.3,24,7.3,24,14.0,999.9,48.9, ,28.9, ,0.0,C,999.9,0
72222113899,1986-02-14,,,,,48.7,24,38.4,24,1022.0,24,17.6,24,7.2,24,8.1,24,18.1,24.1,63.0,*,36.0, ,0.0,D,999.9,110000
72222113899,1986-02-15,,,,,52.5,24,41.8,24,1019.1,21,15.2,24,7.1,24,10.5,24,18.1,28.0,63.0, ,37.9,*,0.24,G,999.9,110000
72222113899,1986-02-16,,,,,54.7,24,45.8,24,1021.2,23,16.9,24,8.2,24,7.1,24,14.0,999.9,66.9,*,44.1, ,0.0,G,999.9,0
72222113899,1986-02-17,,,,,62.5,24,59.3,24,1016.2,24,11.9,24,5.7,24,7.6,24,13.0,999.9,70.0,*,57.0, ,0.0,D,999.9,110010
72222113899,1986-02-18,,,,,65.5,24,63.3,24,1011.8,24,7.5,24,3.7,24,5.3,24,10.1,999.9,71.1,*,63.0, ,0.12,G,999.9,110000
72222113899,1986-02-19,,,,,66.8,24,62.7,24,1010.5,24,6.2,24,4.9,24,7.4,24,15.0,20.0,73.9, ,61.0, ,0.02,G,999.9,100000
72222113899,1986-02-20,,,,,65.5,24,63.0,24,1011.0,24,6.7,24,3.4,24,4.5,24,12.0,999.9,73.9, ,61.0, ,0.0,G,999.9,100000
72222113899,1986-02-21,,,,,67.9,24,63.1,24,1012.7,24,8.3,24,4.7,24,6.1,24,10.1,999.9,73.9,*,64.0,*,0.0,C,999.9,100000
72222113899,1986-02-22,,,,,63.1,24,61.4,24,1013.6,24,9.4,24,2.5,24,3.5,24,15.0,999.9,73.9, ,57.9, ,0.43,D,999.9,110010
72222113899,1986-02-23,,,,,54.1,24,41.8,24,1015.9,24,11.6,24,6.3,24,10.4,24,14.0,999.9,66.9, ,43.0,*,0.2,C,999.9,100000
72222113899,1986-02-24,,,,,56.9,24,42.6,24,1015.5,24,11.2,24,7.2,24,6.6,24,14.0,999.9,72.0,*,46.9, ,0.0,D,999.9,0
72222113899,1986-02-25,,,,,52.4,24,32.6,24,1017.0,24,12.7,24,8.7,24,8.1,24,13.0,999.9,72.0, ,39.9, ,0.0,D,999.9,0
72222113899,1986-02-26,,,,,55.1,24,43.0,24,1014.1,24,9.8,24,6.5,24,7.5,24,20.0,28.9,70.0,*,43.0, ,0.0,C,999.9,100000
72222113899,1986-02-27,,,,,67.1,24,53.6,24,1005.6,24,1.4,24,7.4,24,14.7,24,18.1,31.1,75.0,*,64.0, ,0.0,D,999.9,0
72222113899,1986-02-28,,,,,55.2,24,38.4,24,1012.4,24,8.1,24,7.0,24,9.5,24,18.1,28.9,75.9, ,48.0, ,0.0,D,999.9,0
72222113899,1986-03-01,,,,,40.0,24,15.9,24,1020.7,24,16.4,24,7.5,24,13.1,24,17.1,26.0,57.9, ,28.9, ,0.0,D,999.9,0
72222113899,1986-03-02,,,,,44.0,24,24.8,24,1021.5,24,17.1,24,6.8,24,4.2,24,14.0,999.9,59.0,*,28.0, ,0.0,D,999.9,100000
72222113899,1986-03-03,,,,,62.2,24,51.4,24,1017.4,24,13.0,24,7.0,24,10.9,24,15.0,21.0,72.0,*,54.0, ,0.0,D,999.9,0
72222113899,1986-03-04,,,,,60.4,24,51.8,24,1016.5,24,12.2,24,6.3,24,6.2,24,13.0,18.1,72.0, ,52.0,*,0.35,G,999.9,110010
72222113899,1986-03-05,,,,,50.9,24,35.3,24,1019.2,24,14.9,24,8.2,24,7.0,24,13.0,15.9,69.1, ,37.0, ,0.0,G,999.9,0
72222113899,1986-03-06,,,,,58.1,24,39.9,24,1016.3,24,12.0,24,7.1,24,8.2,24,15.0,999.9,71.1,*,50.0, ,0.0,D,999.9,0
72222113899,1986-03-07,,,,,54.6,24,31.2,24,1018.9,24,14.6,24,9.0,24,4.4,24,15.0,999.9,72.0, ,39.0, ,0.0,D,999.9,0
72222113899,1986-03-08,,,,,56.6,24,43.5,24,1021.6,24,17.3,24,8.7,24,5.0,24,12.0,999.9,64.9, ,48.0, ,0.0,D,999.9,0
72222113899,1986-03-09,,,,,61.3,24,56.4,24,1022.2,24,17.9,24,7.0,24,8.7,24,15.0,999.9,70.0,*,53.1, ,0.0,D,999.9,0
