STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72104699999,9/1/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",81.3,24,76.5,24,9999.9,0,999.9,0,8.8,24,2.8,24,8,999.9,91.4,*,75.2,*,1.05,G,999.9,0
72104699999,9/2/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",81.7,24,77,24,9999.9,0,999.9,0,9.4,24,1.9,24,8,999.9,91.4, ,76.3, ,0,G,999.9,0
72104699999,9/3/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",82.8,24,76.5,24,9999.9,0,999.9,0,9.8,24,2.1,24,7,999.9,91.4,*,77,*,0,I,999.9,0
72104699999,9/4/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",83.2,24,75.5,24,9999.9,0,999.9,0,9.9,24,2.9,24,8.9,14,91.8, ,76.5, ,0,I,999.9,0
72104699999,9/5/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",82.9,24,76.3,24,9999.9,0,999.9,0,10,24,3.2,24,9.9,15,91.4,*,77,*,0,I,999.9,0
72104699999,9/6/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",84.5,24,76.6,24,9999.9,0,999.9,0,10,24,2.5,24,7,999.9,95,*,77,*,0,I,999.9,0
72104699999,9/7/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",81.8,24,74.6,24,9999.9,0,999.9,0,8,24,2.1,24,12,22,94.8, ,74.5, ,0.58,G,999.9,10010
72104699999,9/8/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",81.7,24,75.6,24,9999.9,0,999.9,0,9.2,24,2.5,24,11.1,18.1,91.8, ,74.3, ,0,G,999.9,10
72104699999,9/9/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",75.4,24,62.4,24,9999.9,0,999.9,0,10,24,4.9,24,11.1,16.9,82.4,*,64.4,*,0,I,999.9,0
72104699999,9/10/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",71.4,24,61.3,24,9999.9,0,999.9,0,10,24,1.3,24,6,15.9,84.2,*,62.6,*,0,I,999.9,0
72104699999,9/11/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",73.3,24,64.8,24,9999.9,0,999.9,0,10,24,2.4,24,9.9,14,86,*,62.6,*,0,I,999.9,0
72104699999,9/12/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",77.4,24,69.6,24,9999.9,0,999.9,0,9.9,24,1.2,24,6,999.9,89.6,*,69.8,*,99.99, ,999.9,10000
72104699999,9/13/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",77.3,24,72.8,24,9999.9,0,999.9,0,10,24,2.3,24,11.1,19,89.6, ,71.4, ,0.1,G,999.9,10010
72104699999,9/14/2012,30.1666666,-90.9333333,4.27,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",78,24,70.2,24,9999.9,0,999.9,0,9,24,1.8,24,8.9,999.9,87.8,*,71.6,*,0.07,G,999.9,0
